Country,Year,Total expenditure on health as a percentage of gross domestic product,General government expenditure on health as a percentage of total expenditure on health,Private expenditure on health as a percentage of total expenditure on health,General government expenditure on health as a percentage of total government expenditure,External resources for health as a percentage of total expenditure on health,Social security expenditure on health as a percentage of general government expenditure on health,Out-of-pocket expenditure as a percentage of private expenditure on health,Out-of-pocket expenditure as a percentage of total expenditure on health,Private prepaid plans as a percentage of private expenditure on health
Syrian Arab Republic,2000,4.9,40.4,59.6,6.5,0.1,,100,59.6,
Tajikistan,2012,6.4,29.4,70.6,7.5,11.5,,85.1,60.1,0.1
Tajikistan,2000,4.6,20.4,79.6,6.5,2.3,,99,78.8,
Thailand,2012,4.5,79.5,20.5,16.9,3.8,9.2,56.7,11.6,31.3
Thailand,2000,3.4,56.1,43.9,11,0,9.4,76.9,33.7,12.8
The former Yugoslav republic of Macedonia,2012,6.9,65.3,34.7,13.3,1.1,91.7,100,34.7,
The former Yugoslav republic of Macedonia,2000,8.7,57.7,42.3,15,2.8,97.4,100,42.3,
Timor-Leste,2012,1.4,93.8,6.2,2.9,28.5,0,99.4,6.2,0
Timor-Leste,2000,3.4,65.7,34.3,20.4,29.7,,11.7,4,0
Togo,2012,8.2,50.9,49.1,15.4,15.4,6.5,84.6,41.5,4.2
Togo,2000,5.3,28.5,71.5,8.5,5.9,11.7,88.2,63.1,4.7
Tonga,2012,4.4,80.7,19.3,14.1,15.6,0,67.8,13.1,17.9
Tonga,2000,4.8,70.5,29.5,15.4,22.2,0,77.5,22.9,10.6
Trinidad and Tobago,2012,5.7,49.4,50.6,7.6,0.2,0,81.3,41.1,14.6
Trinidad and Tobago,2000,4,45.4,54.6,6.4,7.2,0,86.3,47.2,7.1
Tunisia,2012,7,59,41,13.3,0.1,56.3,86.7,35.5,10.7
Tunisia,2000,5.4,54.9,45.1,8.1,0.9,28.9,80.1,36.1,17.8
Turkey,2012,5.4,76.8,23.2,10.7,0.2,64.1,66.3,15.4,
Turkey,2000,4.9,62.9,37.1,9.8,0.1,55.6,74.6,27.6,
Turkmenistan,2012,1.9,63.5,36.5,8.7,1.1,6.5,100,36.5,
Turkmenistan,2000,3.9,81.5,18.5,13.7,1.4,6.5,100,18.5,
Tuvalu,2012,15,99.9,0.1,17.3,12,0,100,0.1,0
Tuvalu,2000,11,100,0,5.9,44,0,100,0,0
Uganda,2012,9.8,43,57,24.2,46.7,0,69.1,39.4,0.3
Uganda,2000,7.2,27.1,72.9,8.8,27.4,0,51.8,37.7,0.2
Ukraine,2012,7.5,55.4,44.6,11.9,0.6,0.6,93.8,41.8,2.1
Ukraine,2000,5.6,51.8,48.2,10.2,0.5,0,91.4,44.1,1.1
United Arab Emirates,2012,3,69.1,30.9,9.4,,0,63.2,19.5,27.3
United Arab Emirates,2000,2.2,76.7,23.3,7.8,0,0,69.4,16.1,20.2
United Kingdom,2012,9.3,84,16,16.2,,,56.4,9,17.1
United Kingdom,2000,6.9,79.1,20.9,15.1,0,0,53.3,11.1,17.6
United Republic of Tanzania,2012,7.1,39,61,11.2,38.5,4.5,51.9,31.6,1.5
United Republic of Tanzania,2000,3.4,43.4,56.6,10.2,27.8,0,83.5,47.3,4.5
United States of America,2012,17,47,53,20,,87.3,22.4,11.9,63.7
United States of America,2000,13.1,43,57,16.8,,83.7,26.2,14.9,59.7
Uruguay,2012,8.6,64.5,35.5,19.3,0.2,56.8,50.8,18.1,49.2
Uruguay,2000,11.2,54.6,45.4,20.5,,27.4,31.2,14.2,14.9
Uzbekistan,2012,6.1,51.1,48.9,9.6,1.4,,94,46,5.6
Uzbekistan,2000,5.3,47.5,52.5,8.7,6.7,,99.7,52.3,0
Vanuatu,2012,3.6,86.6,13.4,13.5,28.6,0,56.7,7.6,20.6
Vanuatu,2000,3.6,76.6,23.4,10.5,2.5,0,71.6,16.7,10.7
Venezuela (Bolivarian Republic of),2012,4.9,32.4,67.6,5.5,0,31.1,90.4,61.2,3.5
Venezuela (Bolivarian Republic of),2000,5.7,41.5,58.5,8,0.7,34.6,90.9,53.2,3.2
Vietnam,2012,6,42.6,57.4,9.3,2.4,37,85,48.8,
Vietnam,2000,4.9,30.9,69.1,6.6,2.6,19.7,95.6,66,
Yemen,2012,5.6,27.7,72.3,3.9,3.7,0,98.7,71.4,1.3
Yemen,2000,4.1,54,46,8,7.9,0,94.6,43.5,2.2
Zambia,2012,4.8,53.9,46.1,12.6,37.5,0,67.1,30.9,3.5
Zambia,2000,6.5,47.4,52.4,11.1,13.9,0,55.6,29.2,0.6
